ticker,date,totalvol,retailvol
AAPL,12/30/2020,96452124,53501948
AAPL,12/31/2020,99116586,50116371
AAPL,1/4/2021,143301887,70818708
AAPL,1/5/2021,97664898,52955417
AAPL,1/6/2021,155087970,76100104
AAPL,1/7/2021,109578157,57708338
AAPL,1/8/2021,105158245,54859895
AAPL,1/11/2021,100620880,50938965
AAPL,1/12/2021,91951145,49923820
AAPL,1/13/2021,88636831,44661222
AAPL,1/14/2021,90221755,44218620
AAPL,1/15/2021,111598531,51664989
AAPL,1/19/2021,90757329,49264726
AAPL,1/20/2021,104319489,51123323
AAPL,1/21/2021,120529544,65788320
AAPL,1/22/2021,114459360,60967250
AAPL,1/25/2021,157611713,85071766
AAPL,1/26/2021,98390555,52365063
AAPL,1/27/2021,140843759,58299945
AAPL,1/28/2021,142621128,61561724
AAPL,1/29/2021,177523812,84501229
AAPL,2/1/2021,106239823,47980200
AAPL,2/2/2021,83305367,36486685
AAPL,2/3/2021,89880937,40999570
AAPL,2/4/2021,84183061,41401912
AAPL,2/5/2021,75693830,37299465
AAPL,2/8/2021,71297214,33161868
AAPL,2/9/2021,76774213,42826803
AAPL,2/10/2021,73046563,33158145
AAPL,2/11/2021,64280029,28633238
AAPL,2/12/2021,60145130,26442743
AAPL,2/16/2021,80576316,37891449
AAPL,2/17/2021,98085249,45633101
AAPL,2/18/2021,96856748,45023936
AAPL,2/19/2021,87668834,38699501
AAPL,2/22/2021,103916419,45156664
AAPL,2/23/2021,158273022,72661585
AAPL,2/24/2021,111039904,50605764
AAPL,2/25/2021,148199540,62180029
AAPL,2/26/2021,164560394,64691634
AAPL,3/1/2021,116307892,50073835
AAPL,3/2/2021,102260945,45592378
AAPL,3/3/2021,112966340,46393899
AAPL,3/4/2021,178154975,76155655
AAPL,3/5/2021,153766601,60358451
AAPL,3/8/2021,154376610,64058913
AAPL,3/9/2021,129525780,55907079
AAPL,3/10/2021,111943326,46021622
AAPL,3/11/2021,103026514,47130367
AAPL,3/12/2021,88105050,39580140
AAPL,3/15/2021,92590555,44138811
AAPL,3/16/2021,115227936,59005975
AAPL,3/17/2021,111932636,49846998
AAPL,3/18/2021,121469755,50578721
AAPL,3/19/2021,185549522,70492275
AAPL,3/22/2021,111912284,52781799
AAPL,3/23/2021,95467142,47328203
AAPL,3/24/2021,88530485,42175250
AAPL,3/25/2021,98844681,43284735
AAPL,3/26/2021,94071234,41004977
AAPL,3/29/2021,80819203,36761560
AAPL,3/30/2021,85671919,37420327
AAPL,3/31/2021,118323826,48511728
AAPL,4/1/2021,75089134,36700553
AAPL,4/5/2021,88651175,42666468
AAPL,4/6/2021,80171253,40783229
AAPL,4/7/2021,83466716,43224510
AAPL,4/8/2021,88844591,43446567
AAPL,4/9/2021,106686703,54450808
AAPL,4/12/2021,91419983,46208754
AAPL,4/13/2021,91266545,47674429
AAPL,4/14/2021,87222782,44710942
AAPL,4/15/2021,89347102,42340296
AAPL,4/16/2021,84922386,40011518
AAPL,4/19/2021,94264215,52093062
AAPL,4/20/2021,94812349,47219519
